PNODEID,PNODENAME,PNODETYPE,STATE
48759,CAMDEN 138 KV 26KV-3,LOAD,NJ
48760,CAMDEN 230 KV 69KV-1,LOAD,NJ
48761,CAMDEN 230 KV 69KV-2,LOAD,NJ
48763,CINNAMIN138 KV T-1,LOAD,NJ
48764,CINNAMIN138 KV T-2,LOAD,NJ
48765,CLARKSVI230 KV T-1,LOAD,NJ
48766,CLARKSVI230 KV T-2,LOAD,NJ
48767,CROSSWIC138 KV 13KV-1,LOAD,NJ
48768,CROSSWIC138 KV 13KV-2,LOAD,NJ
48769,CUTHBERT138 KV T-1,LOAD,NJ
48770,CUTHBERT138 KV T-2,LOAD,NJ
48771,CUTHBERT138 KV T-3,LOAD,NJ
48772,CUTHBERT138 KV T-4,LOAD,NJ
48773,DEPTFORD230 KV T-1,LOAD,NJ
48774,DEPTFORD230 KV T-2,LOAD,NJ
48775,GLOUCEST230 KV 69KV-1,LOAD,NJ
48776,GLOUCEST230 KV 69KV-2,LOAD,NJ
48780,HOPECREE500 KV SLP_1 NC,LOAD,NJ
48781,HOPECREE500 KV SLP_2 NC,LOAD,NJ
48782,HOPECREE500 KV SLP_3 NC,LOAD,NJ
48783,HOPECREE500 KV SLP_4 NC,LOAD,NJ
48784,KUSERRD 230 KV T-1,LOAD,NJ
48785,KUSERRD 230 KV T-2,LOAD,NJ
48786,KUSERRD 230 KV T-3,LOAD,NJ
48787,KUSERRD 230 KV T-4,LOAD,NJ
48792,LAWRESUB230 KV T-10,LOAD,NJ
48793,LAWRESUB230 KV T-30,LOAD,NJ
48794,LAWRESUB230 KV T-20,LOAD,NJ
48795,LAWRESUB230 KV T-40,LOAD,NJ
48796,LEVITTOW138 KV T-1,LOAD,NJ
48797,LEVITTOW138 KV T-2,LOAD,NJ
48798,LEVITTOW138 KV T-3,LOAD,NJ
48799,LEVITTOW138 KV T-4,LOAD,NJ
48800,LUMBERTO230 KV T-1,LOAD,NJ
48801,LUMBERTO230 KV T-2,LOAD,NJ
48802,MARLTON 230 KV T-1,LOAD,NJ
48803,MARLTON 230 KV T-2,LOAD,NJ
48804,MARLTON 230 KV T-3,LOAD,NJ
48805,MARLTON 230 KV T-4,LOAD,NJ
48806,MERCER 230 KV #1 SP,LOAD,NJ
48807,MERCER 230 KV #2 SP,LOAD,NJ
48808,MTLAUREL230 KV T-1,LOAD,NJ
48809,MTLAUREL230 KV T-2,LOAD,NJ
48812,SAMPTON 69 KV LOAD1,LOAD,NJ
48813,THOROFAR230 KV T-1,LOAD,NJ
48814,THOROFAR230 KV T-2,LOAD,NJ
48819,ANGORA 13 KV 1BUS,LOAD,PA
48820,ANGORA 13 KV 2BUS,LOAD,PA
48821,BALA 13 KV LD1,LOAD,PA
48822,BALA 13 KV LD2,LOAD,PA
48823,BARBADOS35 KV ABU2,LOAD,PA
48824,BARBADOS35 KV ABU8,LOAD,PA
48830,BLUEBALL13 KV 1TR,LOAD,PA
48831,BLUEBALL13 KV 2TR,LOAD,PA
48832,BRADFORD35 KV KBUS,LOAD,PA
