PNODEID,PNODENAME,PNODETYPE,STATE
32407015,13 CRAWF138 KV TR73 12,LOAD,IL
32407017,13 CRAWF138 KV TR74 12,LOAD,IL
32407019,13 CRAWF138 KV TR76 12,LOAD,IL
32407021,13 CRAWF138 KV TR77 12,LOAD,IL
32407023,13 CRAWF138 KV TR78 12,LOAD,IL
32407025,13 CRAWF138 KV TR79 12,LOAD,IL
32407027,131 W CH12 KV FW3112,LOAD,IL
32407029,131 W CH12 KV FW3114,LOAD,IL
32407031,131 W CH12 KV FW3117,LOAD,IL
32407033,131 W CH12 KV FW3121,LOAD,IL
32407035,131 W CH34.5 KV L11164,LOAD,IL
32407037,131 W CH34.5 KV L11167,LOAD,IL
32407039,131 W CH34.5 KV L13150,LOAD,IL
32407041,131 W CH34.5 KV L13153,LOAD,IL
32407043,131 W CH34.5 KV L13154,LOAD,IL
32407045,131 W CH34.5 KV L13155,LOAD,IL
32407047,131 W CH34.5 KV L13156,LOAD,IL
32407049,131 W CH34.5 KV L13159,LOAD,IL
32407051,132 GARD138 KV TR76 34,LOAD,IL
32407053,132 GARD138 KV TR77 34,LOAD,IL
32407055,133 ROCK34.5 KV L13349,LOAD,IL
32407057,133 ROCK34.5 KV L13348,LOAD,IL
32407059,133 ROCK34.5 KV L13363,LOAD,IL
32407061,133 ROCK34.5 KV L13347,LOAD,IL
32407063,133 ROCK34.5 KV TR51 12,LOAD,IL
32407065,134 LAGR138 KV TR71 12,LOAD,IL
32407067,134 LAGR138 KV TR72 12,LOAD,IL
32407069,134 LAGR138 KV TR73 12,LOAD,IL
32407071,135 ELMH138 KV TR72 12,LOAD,IL
32407073,135 ELMH138 KV TR73 12,LOAD,IL
32407075,136 BURR138 KV TR71 12,LOAD,IL
32407077,136 BURR138 KV TR72 12,LOAD,IL
32407079,136 BURR138 KV TR73 12,LOAD,IL
32407081,136 BURR138 KV TR74 12,LOAD,IL
32407083,137 WASH138 KV TR72-X12,LOAD,IL
32407085,137 WASH138 KV TR72-Y12,LOAD,IL
32407087,137 WASH138 KV TR74-X12,LOAD,IL
32407089,137 WASH138 KV TR74-Y12,LOAD,IL
32407091,137 WASH138 KV TR75-X12,LOAD,IL
32407093,137 WASH138 KV TR75-Y12,LOAD,IL
32407095,139 MEND138 KV TR78 34,LOAD,IL
32407097,140 FRAN138 KV TR71 12,LOAD,IL
32407099,140 FRAN138 KV TR72 12,LOAD,IL
32407101,145 YORK138 KV TR71 12,LOAD,IL
32407103,145 YORK138 KV TR72 12,LOAD,IL
32407105,145 YORK138 KV TR73 12,LOAD,IL
32407107,145 YORK138 KV TR74 12,LOAD,IL
32407109,145 YORK138 KV TR75 12,LOAD,IL
32407111,145 YORK138 KV TR76 12,LOAD,IL
32407113,146 SAND34.5 KV L10643,LOAD,IL
32407115,146 SAND34.5 KV L14630,LOAD,IL
32407117,146 SAND34.5 KV L14651,LOAD,IL
32407119,149 WILM138 KV TR77 34,LOAD,IL
32407121,149 WILM138 KV TR78 34,LOAD,IL
32407123,150 CALU138 KV TR71-X12,LOAD,IL
32407125,150 CALU138 KV TR71-Y12,LOAD,IL
32407127,150 CALU138 KV TR72-X12,LOAD,IL
32407129,150 CALU138 KV TR72-Y12,LOAD,IL
32407131,150 CALU138 KV TR73-X12,LOAD,IL
32407133,150 CALU138 KV TR73-Y12,LOAD,IL
32407135,150 CALU138 KV TR74-X12,LOAD,IL
32407137,150 CALU138 KV TR74-Y12,LOAD,IL
32407139,151 WOOD138 KV TR71 12,LOAD,IL
32407141,151 WOOD138 KV TR72 12,LOAD,IL
32407143,151 WOOD138 KV TR73 12,LOAD,IL
32407145,152 BUSS138 KV TR71 12,LOAD,IL
32407147,152 BUSS138 KV TR72 12,LOAD,IL
32407149,152 BUSS138 KV TR73 12,LOAD,IL
32407151,152 BUSS138 KV TR74 12,LOAD,IL
32407153,154 LIBE138 KV TR71 12,LOAD,IL
32407155,154 LIBE138 KV TR72 12,LOAD,IL
32407157,154 LIBE138 KV TR73 12,LOAD,IL
32407159,157 KANK138 KV TR71 12,LOAD,IL
32407161,157 KANK138 KV TR73 12,LOAD,IL
32407163,158 STRE138 KV TR76 34,LOAD,IL
32407169,16 WAUKE18 KV ATR71 04,LOAD,IL
32407171,16 WAUKE18 KV ATR73 04,LOAD,IL
32407173,16 WAUKE18 KV ATR81 04,LOAD,IL
32407175,16 WAUKE18 KV ATR83 04,LOAD,IL
32407177,16 WAUKE18 KV ATR85 04,LOAD,IL
32407179,16 WAUKE34.5 KV L1660,LOAD,IL
32407181,16 WAUKE34.5 KV L1661,LOAD,IL
32407183,16 WAUKE34.5 KV L1662,LOAD,IL
32407185,16 WAUKE34.5 KV L1663,LOAD,IL
32407187,16 WAUKE34.5 KV L1664,LOAD,IL
32407189,16 WAUKE34.5 KV L1668,LOAD,IL
32407191,16 WAUKE34.5 KV L1669,LOAD,IL
32407193,16 WAUKE34.5 KV LRESFE04,LOAD,IL
32407195,16 WAUKE34.5 KV TR41 04,LOAD,IL
32407197,16 WAUKE138 KV TR16 34,LOAD,IL
32407199,16 WAUKE138 KV TR3 12,LOAD,IL
32407201,16 WAUKE138 KV TR4 12,LOAD,IL
32407203,160 ALPI138 KV TR71 12,LOAD,IL
32407205,160 ALPI138 KV TR72 12,LOAD,IL
32407207,160 ALPI138 KV TR73 12,LOAD,IL
32407209,162 PIER69 KV TR61 12,LOAD,IL
32407211,162 PIER138 KV TR71 12,LOAD,IL
32407213,162 PIER138 KV TR73 12,LOAD,IL
32407215,163 ROSC138 KV TR71 12,LOAD,IL
32407217,163 ROSC138 KV TR72 12,LOAD,IL
32407219,163 ROSC138 KV TR73 12,LOAD,IL
32407221,164 SAND138 KV TR71 12,LOAD,IL
32407223,164 SAND138 KV TR73 12,LOAD,IL
32407225,165 FORD69 KV TR63 12,LOAD,IL
32407227,165 FORD69 KV TR64 12,LOAD,IL
32407229,165 FORD138 KV TR71 12,LOAD,IL
32407231,166 LEIT138 KV TR71 12,LOAD,IL
32407233,166 LEIT138 KV TR72 12,LOAD,IL
32407235,166 LEIT138 KV TR73 12,LOAD,IL
32407237,166 LEIT138 KV TR74 12,LOAD,IL
32407239,166 LEIT138 KV TR77 34,LOAD,IL
32407241,172 GOLF138 KV TR71 12,LOAD,IL
32407243,172 GOLF138 KV TR72 12,LOAD,IL
32407245,172 GOLF138 KV TR73 12,LOAD,IL
32407247,172 GOLF138 KV TR74 12,LOAD,IL
32407249,174 UNIV138 KV TR72 12,LOAD,IL
32407251,174 UNIV138 KV TR73 12,LOAD,IL
32407253,174 UNIV138 KV TR74 12,LOAD,IL
32407255,176 STIL138 KV TR78 34,LOAD,IL
32407257,18 WILL 15 KV ATR11 04,LOAD,IL
32407259,18 WILL 15 KV ATR12 04,LOAD,IL
32407261,18 WILL 15 KV ATR21 04,LOAD,IL
32407263,18 WILL 15 KV ATR22 04,LOAD,IL
32407265,18 WILL 18 KV ATR31 04,LOAD,IL
32407267,18 WILL 18 KV ATR32 04,LOAD,IL
32407269,18 WILL 20 KV ATR41 04,LOAD,IL
32407271,18 WILL 20 KV ATR42 04,LOAD,IL
32407273,18 WILL 20 KV ATR45 04,LOAD,IL
32407275,18 WILL 34.5 KV L1861,LOAD,IL
32407277,18 WILL 34.5 KV L1862,LOAD,IL
32407279,18 WILL 34.5 KV L1863,LOAD,IL
32407281,18 WILL 34.5 KV L1864,LOAD,IL
32407283,18 WILL 34.5 KV L1865,LOAD,IL
32407285,18 WILL 34.5 KV TR71 04,LOAD,IL
32407287,18 WILL 34.5 KV TR72 04,LOAD,IL
32407289,18 WILL 34.5 KV TR73 04,LOAD,IL
32407291,18 WILL 34.5 KV TR74 04,LOAD,IL
32407293,18 WILL 34.5 KV TR75 04,LOAD,IL
32407295,18 WILL 34.5 KV TR76 04,LOAD,IL
32407297,180 LENA138 KV TR78 34,LOAD,IL
32407301,193 MCHE34.5 KV L19347,LOAD,IL
32407303,193 MCHE34.5 KV L19342,LOAD,IL
32407305,193 MCHE34.5 KV L4268,LOAD,IL
32407307,193 MCHE34.5 KV L7544,LOAD,IL
32407309,193 MCHE138 KV TR71 12,LOAD,IL
32407311,193 MCHE138 KV TR72 12,LOAD,IL
32407313,193 MCHE138 KV TR73 12,LOAD,IL
32407315,194 SABR138 KV TR71 12,LOAD,IL
32407317,194 SABR138 KV TR73 12,LOAD,IL
32407319,198 DESP138 KV TR71 12,LOAD,IL
32407321,198 DESP138 KV TR72 12,LOAD,IL
32407323,198 DESP138 KV TR73 12,LOAD,IL
32407325,198 DESP138 KV TR74 12,LOAD,IL
32407327,20 BRAID24 KV AT141204,LOAD,IL
32407329,20 BRAID24 KV AT141104,LOAD,IL
32407331,20 BRAID24 KV AT241204,LOAD,IL
32407333,20 BRAID24 KV AT241104,LOAD,IL
32407335,20 BRAID345 KV AT142104,LOAD,IL
32407337,20 BRAID345 KV AT242104,LOAD,IL
32407339,204 OLD 138 KV TR72 12,LOAD,IL
32407341,204 OLD 138 KV TR73 12,LOAD,IL
32407343,204 OLD 138 KV TR74 12,LOAD,IL
32407345,205 WHEE138 KV TR71 12,LOAD,IL
32407347,205 WHEE138 KV TR72 12,LOAD,IL
32407349,206 ROLL138 KV TR71 12,LOAD,IL
32407351,206 ROLL138 KV TR72 12,LOAD,IL
32407353,206 ROLL138 KV TR73 12,LOAD,IL
32407355,207 TONN138 KV TR71 12,LOAD,IL
32407357,207 TONN138 KV TR72 12,LOAD,IL
32407359,207 TONN138 KV TR73 12,LOAD,IL
32407361,207 TONN138 KV TR74 12,LOAD,IL
32407363,207 TONN138 KV TR77 34,LOAD,IL
32407365,207 TONN138 KV TR78 34,LOAD,IL
32407367,21 KINCA20 KV ATR14104,LOAD,IL
32407369,21 KINCA20 KV ATR14204,LOAD,IL
32407371,21 KINCA20 KV ATR24104,LOAD,IL
32407373,21 KINCA20 KV ATR24204,LOAD,IL
32407375,21 KINCA345 KV ATR14304,LOAD,IL
32407377,21 KINCA345 KV ATR14404,LOAD,IL
32407379,21 KINCA345 KV ATR24304,LOAD,IL
32407381,21 KINCA345 KV ATR24404,LOAD,IL
32407383,212 NORT138 KV TR71 12,LOAD,IL
32407385,212 NORT138 KV TR72 12,LOAD,IL
32407387,212 NORT138 KV TR73 12,LOAD,IL
32407389,212 NORT138 KV TR74 12,LOAD,IL
32407391,213 DEER138 KV TR71 12,LOAD,IL
32407393,213 DEER138 KV TR72 12,LOAD,IL
32407395,213 DEER138 KV TR73 12,LOAD,IL
32407397,213 DEER138 KV TR74 12,LOAD,IL
32407399,214 HOFF138 KV TR71 12,LOAD,IL
32407401,214 HOFF138 KV TR72 12,LOAD,IL
32407403,214 HOFF138 KV TR73 12,LOAD,IL
32407405,214 HOFF138 KV TR74 12,LOAD,IL
32407407,215 HOWA138 KV TR71 12,LOAD,IL
32407409,215 HOWA138 KV TR72 12,LOAD,IL
32407411,216 MOUN138 KV TR71 12,LOAD,IL
32407413,216 MOUN138 KV TR72 12,LOAD,IL
32407415,217 PROS138 KV TR71 12,LOAD,IL
32407417,217 PROS138 KV TR72 12,LOAD,IL
32407427,220 S SC138 KV TR71 12,LOAD,IL
32407429,220 S SC138 KV TR72 12,LOAD,IL
32407431,220 S SC138 KV TR73 12,LOAD,IL
32407433,221 N HU138 KV TR71 12,LOAD,IL
32407435,221 N HU138 KV TR73 12,LOAD,IL
32407437,225 LAND138 KV TR71 12,LOAD,IL
32407439,225 LAND138 KV TR72 12,LOAD,IL
32407441,228 WILS138 KV TR71 12,LOAD,IL
32407443,228 WILS138 KV TR73 12,LOAD,IL
32407473,230 ANTI138 KV TR72 12,LOAD,IL
32407475,230 ANTI138 KV TR73 12,LOAD,IL
32407477,233 BARR138 KV TR71 12,LOAD,IL
32407479,233 BARR138 KV TR72 12,LOAD,IL
32407481,233 BARR138 KV TR73 12,LOAD,IL
32407483,233 BARR138 KV TR74 12,LOAD,IL
32407485,234 LAKE138 KV TR71 12,LOAD,IL
32407487,234 LAKE138 KV TR72 12,LOAD,IL
32407489,234 LAKE138 KV TR73 12,LOAD,IL
32407491,234 LAKE138 KV TR74 12,LOAD,IL
32407493,235 POPL138 KV TR71 12,LOAD,IL
32407495,235 POPL138 KV TR73 12,LOAD,IL
32407497,237 BUFF138 KV TR71 12,LOAD,IL
32407499,237 BUFF138 KV TR72 12,LOAD,IL
32407501,240 CARY138 KV TR71 12,LOAD,IL
32407503,240 CARY138 KV TR72 12,LOAD,IL
32407505,248 LK Z138 KV TR71 12,LOAD,IL
32407507,248 LK Z138 KV TR72 12,LOAD,IL
32407509,248 LK Z138 KV TR73 12,LOAD,IL
32407511,250 BARR138 KV TR72 12,LOAD,IL
32407513,253 SCHA138 KV TR71 12,LOAD,IL
32407515,253 SCHA138 KV TR72 12,LOAD,IL
32407517,253 SCHA138 KV TR73 12,LOAD,IL
32407519,253 SCHA138 KV TR74 12,LOAD,IL
32407521,258 ELMW138 KV TR71 12,LOAD,IL
32407523,258 ELMW138 KV TR73 12,LOAD,IL
32407525,259 ALGO138 KV TR71 12,LOAD,IL
32407527,259 ALGO138 KV TR73 12,LOAD,IL
32407529,260 DUND138 KV TR71 12,LOAD,IL
32407531,260 DUND138 KV TR72 12,LOAD,IL
32407533,268 ARLI138 KV TR71 12,LOAD,IL
32407535,268 ARLI138 KV TR72 12,LOAD,IL
32407537,268 ARLI138 KV TR73 12,LOAD,IL
32407539,268 ARLI138 KV TR74 12,LOAD,IL
32407541,282 ZION138 KV TR72 12,LOAD,IL
32407543,282 ZION138 KV TR73 12,LOAD,IL
32407545,29 JOLIE24 KV ATR70 04,LOAD,IL
32407547,29 JOLIE24 KV ATR71 04,LOAD,IL
32407549,29 JOLIE24 KV ATR72 04,LOAD,IL
32407551,29 JOLIE24 KV ATR80 04,LOAD,IL
32407553,29 JOLIE24 KV ATR81 04,LOAD,IL
32407555,29 JOLIE24 KV ATR82 04,LOAD,IL
32407557,294 GURN138 KV TR71 12,LOAD,IL
32407559,294 GURN138 KV TR72 12,LOAD,IL
32407561,294 GURN138 KV TR73 12,LOAD,IL
32407563,3 POWERT24 KV ATR54104,LOAD,IL
32407565,3 POWERT24 KV ATR54204,LOAD,IL
32407567,3 POWERT24 KV ATR64104,LOAD,IL
32407569,3 POWERT24 KV ATR64204,LOAD,IL
32407571,3 POWERT138 KV TR042 04,LOAD,IL
32407573,3 POWERT345 KV ATR54304,LOAD,IL
32407575,3 POWERT345 KV ATR64304,LOAD,IL
32407577,30 COLUM69 KV TR1 12,LOAD,IL
32407579,30 COLUM69 KV TR2 12,LOAD,IL
32407581,30 COLUM69 KV TR3 12,LOAD,IL
32407583,30 COLUM69 KV TR65 12,LOAD,IL
32407585,30 COLUM69 KV TR66 12,LOAD,IL
32407587,30 COLUM69 KV TR67 12,LOAD,IL
32407589,31 GALEW138 KV TR1 12,LOAD,IL
32407591,31 GALEW138 KV TR2 12,LOAD,IL
32407593,31 GALEW138 KV TR3 12,LOAD,IL
32407595,31 GALEW138 KV TR4 12,LOAD,IL
32407597,317 DIXO138 KV TR71 12,LOAD,IL
32407599,317 DIXO138 KV TR73 12,LOAD,IL
32407601,32 HANSO138 KV TR1 12,LOAD,IL
32407603,32 HANSO138 KV TR2 12,LOAD,IL
32407605,32 HANSO138 KV TR3 12,LOAD,IL
32407607,32 HANSO138 KV TR4 12,LOAD,IL
32407609,33 HAYFO138 KV TR71 12,LOAD,IL
32407611,33 HAYFO138 KV TR72 12,LOAD,IL
32407613,33 HAYFO138 KV TR73 12,LOAD,IL
32407615,33 HAYFO138 KV TR74 12,LOAD,IL
32407617,34 KINGS138 KV TR71 12,LOAD,IL
32407619,34 KINGS138 KV TR72 12,LOAD,IL
32407621,34 KINGS138 KV TR73 12,LOAD,IL
32407623,34 KINGS138 KV TR74 12,LOAD,IL
32407633,37 NATOM138 KV TR71 12,LOAD,IL
32407635,37 NATOM138 KV TR72 12,LOAD,IL
32407637,370 ELER138 KV TR71 12,LOAD,IL
32407639,370 ELER138 KV TR73 12,LOAD,IL
32407641,372 STER138 KV TR71 12,LOAD,IL
32407643,372 STER138 KV TR73 12,LOAD,IL
32407645,375 W DE138 KV TR71 12,LOAD,IL
32407647,375 W DE138 KV TR73 12,LOAD,IL
32407649,38 HUMBO138 KV TR71 12,LOAD,IL
32407651,38 HUMBO138 KV TR72 12,LOAD,IL
32407653,38 HUMBO138 KV TR73 12,LOAD,IL
32407655,38 HUMBO138 KV TR74 12,LOAD,IL
32407657,380 CHAR138 KV TR71 12,LOAD,IL
32407659,380 CHAR138 KV TR74 12,LOAD,IL
32407661,384 HARR69 KV TR71 12,LOAD,IL
32407663,384 HARR69 KV TR72 12,LOAD,IL
32407665,385 15TH69 KV TR61 12,LOAD,IL
32407667,386 PECA138 KV TR71 12,LOAD,IL
32407669,387 BLAC138 KV TR71 12,LOAD,IL
32407671,387 BLAC138 KV TR73 12,LOAD,IL
32407673,388 HARL138 KV TR71 12,LOAD,IL
32407675,388 HARL138 KV TR72 12,LOAD,IL
32407677,389 E RO138 KV TR72 12,LOAD,IL
32407679,389 E RO138 KV TR73 12,LOAD,IL
32407681,39 PORTA138 KV TR71 12,LOAD,IL
32407683,39 PORTA138 KV TR72 12,LOAD,IL
32407685,39 PORTA138 KV TR73 12,LOAD,IL
32407687,39 PORTA138 KV TR74 12,LOAD,IL
32407689,39 PORTA138 KV TR75 12,LOAD,IL
32407691,39 PORTA138 KV TR76 12,LOAD,IL
32407693,39 PORTA138 KV TR77 12,LOAD,IL
32407695,390 SO P138 KV TR71 12,LOAD,IL
32407697,4 QUAD C13.5 KV LATR81,LOAD,IL
32407699,4 QUAD C13.5 KV LATR82,LOAD,IL
32407701,4 QUAD C18 KV ATR11 04,LOAD,IL
32407703,4 QUAD C18 KV ATR21 04,LOAD,IL
32407705,4 QUAD C345 KV ATR12 04,LOAD,IL
32407707,4 QUAD C345 KV ATR22 04,LOAD,IL
32407709,40 DIVER138 KV TR71 12,LOAD,IL
32407711,40 DIVER138 KV TR72 12,LOAD,IL
32407713,40 DIVER138 KV TR73 12,LOAD,IL
32407715,40 DIVER138 KV TR74 12,LOAD,IL
32407717,406 NEW 138 KV TR71 12,LOAD,IL
32407719,406 NEW 138 KV TR73 12,LOAD,IL
32407721,41 ROSEL69 KV TR61 12,LOAD,IL
32407723,41 ROSEL69 KV TR62 12,LOAD,IL
32407725,41 ROSEL69 KV TR63 12,LOAD,IL
32407727,411 ROME138 KV TR71 12,LOAD,IL
32407729,411 ROME138 KV TR72 12,LOAD,IL
32407731,414 ROBE138 KV TR71 12,LOAD,IL
32407733,414 ROBE138 KV TR72 12,LOAD,IL
32407735,416 BELL138 KV TR71 12,LOAD,IL
32407737,416 BELL138 KV TR72 12,LOAD,IL
32407739,416 BELL138 KV TR73 12,LOAD,IL
32407741,419 TINL138 KV TR71 12,LOAD,IL
32407743,419 TINL138 KV TR72 12,LOAD,IL
32407745,419 TINL138 KV TR73 12,LOAD,IL
32407747,419 TINL138 KV TR74 12,LOAD,IL
32407749,42 ROUND34.5 KV L4262,LOAD,IL
32407751,42 ROUND34.5 KV L4268,LOAD,IL
32407753,42 ROUND34.5 KV L4283,LOAD,IL
32407755,42 ROUND34.5 KV L4280,LOAD,IL
32407757,42 ROUND34.5 KV L4281,LOAD,IL
32407759,42 ROUND138 KV TR71 12,LOAD,IL
32407761,42 ROUND138 KV TR72 12,LOAD,IL
32407767,431 SHOR138 KV TR71 12,LOAD,IL
32407769,431 SHOR138 KV TR73 12,LOAD,IL
32407771,435 CC H138 KV TR71 12,LOAD,IL
32407773,435 CC H138 KV TR72 12,LOAD,IL
32407775,435 CC H138 KV TR73 12,LOAD,IL
32407777,436 HILL138 KV TR71 12,LOAD,IL
32407779,436 HILL138 KV TR72 12,LOAD,IL
32407781,436 HILL138 KV TR73 12,LOAD,IL
32407783,436 HILL138 KV TR74 12,LOAD,IL
32407785,439 ROCK138 KV TR71 12,LOAD,IL
32407787,439 ROCK138 KV TR72 12,LOAD,IL
32407797,440 PALO138 KV TR71 12,LOAD,IL
32407799,440 PALO138 KV TR72 12,LOAD,IL
32407801,443 HARV138 KV TR71 12,LOAD,IL
32407803,443 HARV138 KV TR73 12,LOAD,IL
32407805,446 LANS138 KV TR71 12,LOAD,IL
32407807,446 LANS138 KV TR72 12,LOAD,IL
32407809,447 SANR138 KV TR71 12,LOAD,IL
32407811,447 SANR138 KV TR72 12,LOAD,IL
32407813,45 JEFFE138 KV TR71 12,LOAD,IL
32407815,45 JEFFE138 KV TR72 12,LOAD,IL
32407817,45 JEFFE138 KV TR73 12,LOAD,IL
32407819,45 JEFFE138 KV TR74 12,LOAD,IL
32407821,451 MOKE138 KV TR71 12,LOAD,IL
32407823,451 MOKE138 KV TR72 12,LOAD,IL
32407825,451 MOKE138 KV TR73 12,LOAD,IL
32407827,451 MOKE138 KV TR74 12,LOAD,IL
32407829,452 GLEN138 KV TR71 12,LOAD,IL
32407831,452 GLEN138 KV TR72 12,LOAD,IL
32407833,452 GLEN138 KV TR73 12,LOAD,IL
32407835,452 GLEN138 KV TR74 12,LOAD,IL
32407837,453 WOOD138 KV TR71 12,LOAD,IL
32407839,453 WOOD138 KV TR73 12,LOAD,IL
32407841,454 PLAI138 KV TR71 12,LOAD,IL
32407843,454 PLAI138 KV TR73 12,LOAD,IL
32407845,456 JOL 138 KV TR71 12,LOAD,IL
32407847,456 JOL 138 KV TR72 12,LOAD,IL
32407849,457 PK F138 KV TR71 12,LOAD,IL
32407851,457 PK F138 KV TR72 12,LOAD,IL
32407853,458 GREE138 KV TR71 12,LOAD,IL
32407855,458 GREE138 KV TR72 12,LOAD,IL
32407857,46 DESPL138 KV TR72 12,LOAD,IL
32407859,46 DESPL138 KV TR73 12,LOAD,IL
32407861,46 DESPL138 KV TR74 12,LOAD,IL
32407863,46 DESPL138 KV TR77 34,LOAD,IL
32407865,46 DESPL138 KV TR78 34,LOAD,IL
32407867,461 CRES138 KV TR71 12,LOAD,IL
32407869,461 CRES138 KV TR72 12,LOAD,IL
32407871,461 CRES138 KV TR73 12,LOAD,IL
32407873,461 CRES138 KV TR74 12,LOAD,IL
32407875,465 S HO138 KV TR71 12,LOAD,IL
32407877,465 S HO138 KV TR72 12,LOAD,IL
32407879,465 S HO138 KV TR73 12,LOAD,IL
32407881,469 EVRG138 KV TR71 12,LOAD,IL
32407883,469 EVRG138 KV TR73 12,LOAD,IL
32407885,47 EVANS138 KV TR71 12,LOAD,IL
32407887,47 EVANS138 KV TR72 12,LOAD,IL
32407889,47 EVANS138 KV TR73 12,LOAD,IL
32407891,47 EVANS138 KV TR74 12,LOAD,IL
32407893,47 EVANS138 KV TR77 34,LOAD,IL
32407895,47 EVANS138 KV TR78 34,LOAD,IL
32407897,470 ORLA138 KV TR71 12,LOAD,IL
32407899,470 ORLA138 KV TR72 12,LOAD,IL
32407901,474 BRIG138 KV TR71 12,LOAD,IL
32407903,474 BRIG138 KV TR72 12,LOAD,IL
32407905,48 HIGHL12 KV FC481,LOAD,IL
32407907,48 HIGHL12 KV FC482,LOAD,IL
32407909,48 HIGHL12 KV FC484,LOAD,IL
32407911,48 HIGHL12 KV FC485,LOAD,IL
32407913,48 HIGHL12 KV FC486,LOAD,IL
32407915,48 HIGHL12 KV FC487,LOAD,IL
32407917,48 HIGHL12 KV FC489,LOAD,IL
32407919,48 HIGHL34.5 KV L4834 1,LOAD,IL
32407921,48 HIGHL34.5 KV L4863 1,LOAD,IL
32407923,48 HIGHL34.5 KV L4866 1,LOAD,IL
32407925,48 HIGHL34.5 KV L4867 1,LOAD,IL
32407927,48 HIGHL34.5 KV L4881 1,LOAD,IL
32407929,487 ARCH138 KV TR71 12,LOAD,IL
32407931,487 ARCH138 KV TR72 12,LOAD,IL
32407933,49 PLYMO69 KV TR1 12,LOAD,IL
32407935,49 PLYMO69 KV TR2 12,LOAD,IL
32407937,49 PLYMO69 KV TR3 12,LOAD,IL
32407939,49 PLYMO69 KV TR4 12,LOAD,IL
32407941,505 OAK 138 KV TR71 12,LOAD,IL
32407943,505 OAK 138 KV TR72 12,LOAD,IL
32407945,505 OAK 138 KV TR73 12,LOAD,IL
32407947,51 MC CO138 KV TR72 12,LOAD,IL
32407949,51 MC CO138 KV TR73 12,LOAD,IL
32407951,51 MC CO138 KV TR76 34,LOAD,IL
32407953,51 MC CO138 KV TR78 34,LOAD,IL
32407955,51 MC CO138 KV TR79 34,LOAD,IL
32407957,517 SAYR138 KV TR72 12,LOAD,IL
32407959,517 SAYR138 KV TR73 12,LOAD,IL
32407961,52 HAWTH69 KV TR61 12,LOAD,IL
32407963,52 HAWTH69 KV TR62 12,LOAD,IL
32407965,52 HAWTH69 KV TR63 12,LOAD,IL
32407967,531 BRID138 KV TR71 12,LOAD,IL
32407969,531 BRID138 KV TR72 12,LOAD,IL
32407971,539 WVIL138 KV TR71 12,LOAD,IL
32407973,539 WVIL138 KV TR73 12,LOAD,IL
32407975,54 CLYBO138 KV TR71 12,LOAD,IL
32407977,54 CLYBO138 KV TR72 12,LOAD,IL
32407979,54 CLYBO138 KV TR73 12,LOAD,IL
32407981,54 CLYBO138 KV TR74 12,LOAD,IL
32407983,549 BERK138 KV TR71 12,LOAD,IL
32407985,549 BERK138 KV TR73 12,LOAD,IL
32407987,55 HEGEW138 KV TR71 12,LOAD,IL
32407989,55 HEGEW138 KV TR72 12,LOAD,IL
32407991,55 HEGEW138 KV TR75 12,LOAD,IL
32407993,55 HEGEW138 KV TR76 12,LOAD,IL
32407995,550 CLEA138 KV TR71 12,LOAD,IL
32407997,550 CLEA138 KV TR72 12,LOAD,IL
32407999,550 CLEA138 KV TR73 12,LOAD,IL
32408001,552 ADDI138 KV TR71 12,LOAD,IL
32408003,552 ADDI138 KV TR72 12,LOAD,IL
32408005,555 GLEN138 KV TR71 12,LOAD,IL
32408007,555 GLEN138 KV TR72 12,LOAD,IL
32408009,556 BERW69 KV TR61 12,LOAD,IL
32408011,556 BERW69 KV TR63 12,LOAD,IL
32408013,557 BUTT138 KV TR71 12,LOAD,IL
32408015,557 BUTT138 KV TR72 12,LOAD,IL
32408017,559 WOOD138 KV TR71 12,LOAD,IL
32408019,559 WOOD138 KV TR72 12,LOAD,IL
32408021,56 NO AU34.5 KV L10641,LOAD,IL
32408023,56 NO AU34.5 KV L10642,LOAD,IL
32408025,56 NO AU34.5 KV L5631,LOAD,IL
32408027,56 NO AU34.5 KV L5633,LOAD,IL
32408029,56 NO AU34.5 KV L5635,LOAD,IL
32408031,56 NO AU34.5 KV L5637,LOAD,IL
32408033,56 NO AU34.5 KV L5639,LOAD,IL
32408035,56 NO AU34.5 KV L5640,LOAD,IL
32408037,56 NO AU138 KV TR71 12,LOAD,IL
32408039,56 NO AU138 KV TR72 12,LOAD,IL
32408041,56 NO AU138 KV TR73 12,LOAD,IL
32408043,56 NO AU138 KV TR74 12,LOAD,IL
32408045,560 GRAC138 KV TR71 12,LOAD,IL
32408047,560 GRAC138 KV TR72 12,LOAD,IL
32408049,561 BOLN138 KV TR71 12,LOAD,IL
32408051,561 BOLN138 KV TR72 12,LOAD,IL
32408053,561 BOLN138 KV TR73 12,LOAD,IL
32408055,561 BOLN138 KV TR74 12,LOAD,IL
32408057,562 GLEN138 KV TR71 12,LOAD,IL
32408059,562 GLEN138 KV TR72 12,LOAD,IL
32408061,562 GLEN138 KV TR73 12,LOAD,IL
32408063,562 GLEN138 KV TR74 12,LOAD,IL
32408065,563 HANO138 KV TR71 12,LOAD,IL
32408067,563 HANO138 KV TR72 12,LOAD,IL
32408069,565 NORD138 KV TR71 12,LOAD,IL
32408071,565 NORD138 KV TR72 12,LOAD,IL
32408073,566 OAKB138 KV TR71 12,LOAD,IL
32408075,566 OAKB138 KV TR72 12,LOAD,IL
